donorID,gender,year,Population / km²,donations,months as donor,frequency,months since gift,avg donation,donates outside campaign,donors/1000 in area,region_Brussels,region_Flanders,region_Wallonia,province_Antwerp,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Namur,province_Walloon Brabant,province_West Flanders,lang_EN,lang_FR,lang_NL
100115,1.0,1979.0,5494.241531424213,38.0,59.0,0.6440677966101694,106.0,7.278684210526314,0.0,0.0495251092303798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100116,0.0,1979.0,8143.1611524241125,4.0,101.0,0.039603960396039604,61.0,34.9475,0.0,1.0296195196705218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100117,0.0,1979.0,37.6601407521092,2.0,1.0,2.0,48.0,37.5,0.0,0.5378271782000718,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100118,0.0,1973.0,2874.2330376414893,2.0,6.0,0.3333333333333333,54.0,32.5,1.0,0.4611634495026023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100120,0.0,1955.0,8143.1611524241125,1.0,0.0,0.0,76.0,36.0,0.0,1.0296195196705218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100124,0.0,1976.0,4678.100930832918,2.0,10.0,0.2,65.0,38.0,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100127,1.0,1948.0,4678.100930832918,1.0,0.0,0.0,53.0,40.0,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100129,0.0,1950.0,143.07110411055282,1.0,0.0,0.0,76.0,36.0,0.0,0.7443458345261952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100131,0.0,1974.0,4678.100930832918,5.0,89.0,0.056179775280898875,71.0,26.474,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100132,1.0,1953.0,4678.100930832918,1.0,0.0,0.0,36.0,30.0,1.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100133,0.0,1964.0,4678.100930832918,1.0,0.0,0.0,53.0,30.0,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100137,0.0,1983.0,479.8371630464092,18.0,61.0,0.29508196721311475,99.0,26.932222222222222,1.0,5.661577608142494,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100138,1.0,1956.0,4678.100930832918,1.0,0.0,0.0,43.0,15.0,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100139,0.0,1969.0,4678.100930832918,2.0,33.0,0.06060606060606061,43.0,25.0,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100141,1.0,1933.0,3791.0050872562015,1.0,0.0,0.0,53.0,39.0,0.0,1.999235586393438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100142,0.0,1990.0,3791.0050872562015,19.0,116.0,0.16379310344827586,50.0,27.55421052631579,1.0,1.999235586393438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100143,0.0,1988.0,3791.0050872562015,1.0,0.0,0.0,72.0,20.0,0.0,1.999235586393438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100146,1.0,1945.0,96.0609011228053,1.0,0.0,0.0,53.0,30.0,0.0,0.2718499388337638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
100147,0.0,1976.0,4678.100930832918,3.0,15.0,0.2,57.0,38.333333333333336,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100149,1.0,1973.0,16228.482216805809,10.0,38.0,0.2631578947368421,80.0,30.0,1.0,0.7079682337731629,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100150,0.0,1989.0,3791.0050872562015,1.0,0.0,0.0,43.0,10.0,0.0,1.999235586393438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100151,1.0,1979.0,1940.6747204462074,13.0,119.0,0.1092436974789916,45.0,33.59384615384616,1.0,1.9059720457433291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
